INDEX,NOMBRE_DATA_VIAJES,NOMBRE_RESULTS_5,RATIO,
1,17 DE AGOSTO S.A.,17 DE AGOSTO S.A.,100,
2,ALMAFUERTE S.A.T.A.C.I.,ALMAFUERTE S.A.T.A.C.I.,100,
3,AZUL S.A. DE TRANSPORTE AUTOMOTOR,AZUL S.A. DE TRANSPORTE AUTOMOTOR,100,
4,BERNARDINO RIVADAVIA S.A.T.A.,BERNARDINO RIVADAVIA S.A.T.A.,100,
5,BUS DEL OESTE S.A.,BUS DEL OESTE S.A.,100,
6,CIA LA PAZ AMADOR MOURE SACIFIYA,CIA LA PAZ AMADOR MOURE SACIFIYA,100,
7,COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA,COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA,100,
8,EL URBANO SRL,EL URBANO SRL ,100,
9,EMPRESA DE TRANSPORTE DEL SUR SRL,EMPRESA DE TRANSPORTE DEL SUR SRL,100,
10,EMPRESA DE TRANSPORTES EL LITORAL S.A.,EMPRESA DE TRANSPORTES EL LITORAL S.A.,100,
11,EMPRESA J.M. EZEIZA S.R.L.,EMPRESA J.M. EZEIZA S.R.L.,100,
12,EMPRESA MONTE GRANDE S.A. LINEA 501,EMPRESA MONTE GRANDE S.A. LINEA 501,100,
13,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,EMPRESA TANDILENSE S A C I F I Y DE S.,100,
14,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,100,
15,EXPRESO LOMAS S.A.,EXPRESO LOMAS S.A.,100,
16,EXPRESO NUEVE DE JULIO S.A.,EXPRESO NUEVE DE JULIO S.A.,100,
17,EXPRESO SAN ISIDRO S.A.T.C.I.F.I.,EXPRESO SAN ISIDRO S.A.T.C.I.F.I.,100,
18,EXPRESO VILLA NUEVA S.A.,EXPRESO VILLA NUEVA S.A.,100,
19,GENERAL PUEYRREDON S.A.T.C.I.,GENERAL PUEYRREDON S.A.T.C.I,100,
20,GENERAL TOMAS GUIDO S.A.C.I.F.,GENERAL TOMAS GUIDO S.A.C.I.F.,100,
21,GRUPO LINEA 179 S.A.,GRUPO LINEA 179 S.A.,100,
22,JUAN B. JUSTO S.A.T.C.I.,JUAN B. JUSTO S.A.T.C.I.,100,
23,LA CABAÑA S.A.,LA CABAÑA S.A.,100,
24,LA PRIMERA DE MARTINEZ S.A,LA PRIMERA DE MARTINEZ S.A.,100,
25,LINEA 10 S.A.,LINEA 10 S.A.,100,
26,LINEA 17 S.A.,LINEA 17 S.A.,100,
27,LINEA 22 S.A.,LINEA 22 S.A. ,100,
28,LINEA 71 S.A.,LINEA 71 S.A.,100,
29,MICRO OMNIBUS AVENIDA S.A.,MICRO OMNIBUS AVENIDA S.A.,100,
30,MICRO OMNIBUS MITRE S.A.,MICRO OMNIBUS MITRE S.A.,100,
