mes;provincia;municipio;cuit;tipo;monto
05/2019;30-64701983-4;"BUENOS AIRES";"ALMIRANTE BROWN";748000.00;"Comp. Gasoil"
05/2019;30-64701983-4;"BUENOS AIRES";"ALMIRANTE BROWN";3830707.20;"Comp. Tarifaria"
05/2019;30-65080001-6;"BUENOS AIRES";"ALMIRANTE BROWN";2770000.00;"Comp. Gasoil"
05/2019;30-65080001-6;"BUENOS AIRES";"ALMIRANTE BROWN";12314955.62;"Comp. Tarifaria"
05/2019;30-68586179-4;"BUENOS AIRES";"ALMIRANTE BROWN";10246280.12;"Comp. Tarifaria"
05/2019;30-68586179-4;"BUENOS AIRES";"ALMIRANTE BROWN";2480000.00;"Comp. Gasoil"
05/2019;30-71596259-0;"BUENOS AIRES";"ALMIRANTE BROWN";7303478.57;"Comp. Tarifaria"
05/2019;30-71596259-0;"BUENOS AIRES";"ALMIRANTE BROWN";1980000.00;"Comp. Gasoil"
05/2019;33-54634565-9;"BUENOS AIRES";"ALMIRANTE BROWN";450000.00;"Comp. Gasoil"
05/2019;33-54634565-9;"BUENOS AIRES";"ALMIRANTE BROWN";1166610.15;"Comp. Tarifaria"
05/2019;33-54661071-9;"BUENOS AIRES";AVELLANEDA;4979997.53;"Comp. Tarifaria"
05/2019;33-54661071-9;"BUENOS AIRES";AVELLANEDA;1660000.00;"Comp. Gasoil"
05/2019;20-17896617-1;"BUENOS AIRES";"BAHIA BLANCA";40080.05;"Comp. Tarifaria"
05/2019;30-54634701-6;"BUENOS AIRES";"BAHIA BLANCA";2346117.04;"Comp. Tarifaria"
05/2019;30-71160347-2;"BUENOS AIRES";"BAHIA BLANCA";1153399.69;"Comp. Tarifaria"
05/2019;30-71234878-6;"BUENOS AIRES";"BAHIA BLANCA";2592134.68;"Comp. Tarifaria"
05/2019;30-52276217-9;"BUENOS AIRES";BERAZATEGUI;2940000.00;"Comp. Gasoil"
05/2019;30-52276217-9;"BUENOS AIRES";BERAZATEGUI;12536901.43;"Comp. Tarifaria"
05/2019;30-70986951-1;"BUENOS AIRES";BRANDSEN;1415085.31;"Comp. Tarifaria"
05/2019;30-70986951-1;"BUENOS AIRES";BRANDSEN;260000.00;"Comp. Gasoil"
05/2019;30-69225833-5;"BUENOS AIRES";CAMPANA;182000.00;"Comp. Gasoil"
05/2019;30-69225833-5;"BUENOS AIRES";CAMPANA;533554.27;"Comp. Tarifaria"
05/2019;30-71158328-5;"BUENOS AIRES";CAMPANA;1679131.96;"Comp. Tarifaria"
05/2019;30-71158328-5;"BUENOS AIRES";CAMPANA;350000.00;"Comp. Gasoil"
05/2019;30-54632033-9;"BUENOS AIRES";CAÑUELAS;92000.00;"Comp. Gasoil"
05/2019;30-54632033-9;"BUENOS AIRES";CAÑUELAS;1004595.26;"Comp. Tarifaria"
05/2019;30-54653274-3;"BUENOS AIRES";ESCOBAR;0.00;"Comp. Gasoil"
