anio;EMPRESA;TOTAL
2019;"17 DE AGOSTO S.A.";4492546
2019;"4 DE SEPTIEMBRE S.A.T.C.P.";6708909
2019;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";21473490
2019;"ALMAFUERTE S.A.T.A.C.I.";5304018
2019;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";5426182
2019;"AUTOBUSES BUENOS AIRES SRL";7934377
2019;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";27577109
2019;"BERNARDINO RIVADAVIA S.A.T.A.";9758578
2019;"BUENOS AIRES BUS SOCIEDAD ANONIMA";1859935
2019;"BUS DEL OESTE S.A.";2085346
2019;"CARDENAS S.A. EMPRESA DE TRANSPORTES";6500813
2019;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";5829749
2019;"CIA LA PAZ AMADOR MOURE SACIFIYA";4535645
2019;"COLECTIVEROS UNIDOS S.A.";8512245
2019;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";21781029
2019;"COMPAÑIA ISLEÑA S.R.L.";22226065
2019;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";10009536
2019;"COMPAÑIA NOROESTE S.A.T.";15653875
2019;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";2808538
2019;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";765094
2019;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";372261
2019;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";23971000
2019;"D.U.V.I. SOCIEDAD ANONIMA";5122643
2019;"EL NUEVO HALCON S.A.";11890383
2019;"EL PUENTE S.A.T.";9613181
2019;"EL URBANO SRL";1018654
2019;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";5882334
2019;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";7380355
2019;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";6717981
2019;"EMPRESA 501 SA";8419632
2019;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";3569947
2019;"EMPRESA CINCO DE AGOSTO S.R.L.";1656354
2019;"EMPRESA CIUDAD DE SAN FERNANDO SA";13377165
2019;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";14504046
2019;"EMPRESA DE TRANSPORTE DEL SUR SRL";13490040
2019;"EMPRESA DE TRANSPORTES 104 S.R.L.";1
2019;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";5177025
2019;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";8825970
2019;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";209403
2019;"EMPRESA DEL OESTE SAT";18787894
2019;"EMPRESA J.M. EZEIZA S.R.L.";8196554
2019;"EMPRESA LINEA 216 S.A.T.";49049980
2019;"EMPRESA LINEA SIETE SAT";5635511
2019;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";1913128
2019;"EMPRESA MONTE GRANDE S.A. LINEA 501";19004129
2019;"EMPRESA NUEVE DE JULIO S.A.T.";11114336
2019;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";14142309
2019;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";2383948
2019;"EMRESA MONTERREY S.R.L.";886584
2019;"ERSA URBANO";10327295
2019;"EXPRESO EMPALME LOBOS S.R.L.";345831
2019;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";9207818
2019;"EXPRESO GENERAL SARMIENTO S.A.";18779861
2019;"EXPRESO LA PLATA BUENOS AIRES S.A.";5382480
2019;"EXPRESO LOMAS S.A.";2229236
2019;"EXPRESO NUEVE DE JULIO S.A.";7265795
2019;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";11675430
2019;"EXPRESO QUILMES S.A.";10157538
2019;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";6983905
2019;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";20360177
2019;"EXPRESO VILLA NUEVA S.A.";9165927
2019;"FERROVIAS S.A.";13952830
2019;"FUERTE BARRAGAN S.A.T.I.C.I.";5756013
2019;"GENERAL PUEYRREDON S.A.T.C.I.";5863075
2019;"GENERAL TOMAS GUIDO S.A.C.I.F.";25511678
2019;"GRUPO LINEA 179 S.A.";2466952
2019;"INTERISLEÑA S.A.C.I.";2372
2019;"JUAN B. JUSTO S.A.T.C.I.";7053781
2019;"LA CABAÑA S.A.";33731329
2019;"LA CENTRAL DE ESCOBAR SA";9266093
2019;"LA CENTRAL DE VICENTE LOPEZ S.A.";17240942
2019;"LA FLOR DE LUJAN SRL";137316
2019;"LA NUEVA METROPOL S.A.";23372750
2019;"LA PRIMERA DE GRAND BOURG S.A.";23884065
2019;"LA PRIMERA DE LA ESCONDIDA SRL";656628
2019;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";1791064
2019;"LA PRIMERA DE MARTINEZ S.A";6950226
2019;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";12666014
2019;"LIBERTADOR SAN MARTIN SAT";7387293
2019;"LINEA 10 S.A.";4387988
2019;"LINEA 17 S.A.";6708340
2019;"LINEA 213 S.A. DE TRANSPORTE";8074195
2019;"LINEA 22 S.A.";3390929
2019;"LINEA 71 S.A.";7464338
2019;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";4611042
2019;"LINEA EXPRESO LINIERS S.A.I.Y C.";3633198
2019;"LINEA SESENTA SA";5230628
2019;"LOS CONSTITUYENTES S.A.T.";16187428
2019;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";6822045
2019;"MAYO S.A.T.A.";4733961
2019;METROVIAS;155234556
2019;"METROVIAS S.A. (URQUIZA)";13334434
2019;"MICRO OMNIBUS AVENIDA S.A.";5207893
2019;"MICRO OMNIBUS ESTE S.A";3809652
2019;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";14752745
2019;"MICRO OMNIBUS GRAL PACHECO SRL";6337553
2019;"MICRO OMNIBUS MITRE S.A.";9632528
