anio,linea,TipoPasaje,TOTAL
08/2019,LINEA 061,NORMAL,240207
08/2019,LINEA 061,ATRIBUTO SOCIAL,84234
08/2019,LINEA 061,ESCOLAR PRIMARIO BSAS,281
08/2019,LINEA 061,ESCOLAR SECUNDARIO CABA,2004
08/2019,LINEA 061,ESCOLAR INICIAL Y PRIMARIO CABA,500
08/2019,LINEA 061,ESCOLAR SECUNDARIO BSAS,604
08/2019,LINEA 1,ESCOLAR INICIAL Y PRIMARIO CABA,213
08/2019,LINEA 1,ESCOLAR SECUNDARIO BSAS,4846
08/2019,LINEA 1,NORMAL,261685
08/2019,LINEA 1,ATRIBUTO SOCIAL,115194
08/2019,LINEA 1,ESCOLAR PRIMARIO BSAS,816
08/2019,LINEA 1,ESCOLAR SECUNDARIO CABA,3964
08/2019,LINEA 10,NORMAL,566559
08/2019,LINEA 10,ATRIBUTO SOCIAL,218960
08/2019,LINEA 10,ESCOLAR PRIMARIO BSAS,2435
08/2019,LINEA 10,ESCOLAR SECUNDARIO CABA,3556
08/2019,LINEA 10,ESCOLAR INICIAL Y PRIMARIO CABA,954
08/2019,LINEA 10,ESCOLAR SECUNDARIO BSAS,11212
08/2019,LINEA 100,ESCOLAR SECUNDARIO BSAS,19136
08/2019,LINEA 100,NORMAL,808018
08/2019,LINEA 100,ATRIBUTO SOCIAL,296576
08/2019,LINEA 100,ESCOLAR PRIMARIO BSAS,5192
08/2019,LINEA 100,ESCOLAR SECUNDARIO CABA,5938
08/2019,LINEA 100,ESCOLAR INICIAL Y PRIMARIO CABA,1772
08/2019,LINEA 101,ESCOLAR INICIAL Y PRIMARIO CABA,5567
08/2019,LINEA 101,ESCOLAR SECUNDARIO BSAS,1881
08/2019,LINEA 101,NORMAL,809247
08/2019,LINEA 101,ATRIBUTO SOCIAL,369345
08/2019,LINEA 101,ESCOLAR PRIMARIO BSAS,574
08/2019,LINEA 101,ESCOLAR SECUNDARIO CABA,40974
08/2019,LINEA 102,ESCOLAR SECUNDARIO CABA,6064
08/2019,LINEA 102,ESCOLAR INICIAL Y PRIMARIO CABA,1776
08/2019,LINEA 102,ESCOLAR SECUNDARIO BSAS,681
08/2019,LINEA 102,NORMAL,503800
