mes;provincia;municipio;cuit;razon_social;pago;monto
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 1";843852.67
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 1";517072.27
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-64701983-4;"TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 1";2753552.02
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 1";1427417.03
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-65080001-6;"EMPRESA DE TRANSPORTE DEL SUR SRL";"RCC SD      PAGO 4";0.00
